event_type,ingestion_timestamp,event_timestamp
vp,1598132200992.2122,1598132201430.0
vp,1598132200992.805,1598132201478.0
vp,1598132201000.72,1598132201488.0
vp,1598132201000.845,1598132201461.0
vp,1598132201007.55,1598132201449.0
vp,1598132201011.2769,1598132201510.0
vp,1598132201021.997,1598132201494.0
vp,1598132201024.6191,1598132201352.0
vp,1598132201025.107,1598132201481.0
vp,1598132201038.046,1598132198529.0
vp,1598132201038.6392,1598132201472.0
vp,1598132201042.381,1598132201521.0
vp,1598132201042.816,1598132201520.0
vp,1598132201050.714,1598132201535.0
vp,1598132201059.717,1598132201410.0
vp,1598132201071.4878,1598132201543.0
vp,1598132201071.94,1598132201397.0
vp,1598132201073.96,1598132201576.0
vp,1598132201074.734,1598132201583.0
vp,1598132201078.876,1598132201562.0
vp,1598132201079.252,1598132201531.0
vp,1598132201081.9558,1598132201562.0
vp,1598132201082.433,1598132201565.0
vp,1598132201090.5981,1598132200994.0
vp,1598132201091.2212,1598132201517.0
vp,1598132201095.678,1598132201464.0
vp,1598132201096.175,1598132201577.0
vp,1598132201101.851,1598132201599.0
vp,1598132201102.422,1598132200955.0
vp,1598132201108.319,1598132201568.0
dep,1598132201120.767,1598132201544.0
vp,1598132201121.1072,1598132201604.0
vp,1598132201126.918,1598132201580.0
vp,1598132201127.231,1598132201328.0
vp,1598132201127.442,1598132201608.0
vp,1598132201127.878,1598132199529.0
vp,1598132201128.22,1598132200529.0
vp,1598132201128.48,1598132201529.0
vp,1598132201135.149,1598132201616.0
vp,1598132201141.207,1598132201621.0
vp,1598132201141.711,1598132201501.0
vp,1598132201150.951,1598132201642.0
vp,1598132201151.236,1598132201592.0
vp,1598132201181.604,1598132201597.0
vp,1598132201188.9429,1598132201155.0
vp,1598132201196.558,1598132201690.0
vp,1598132201203.158,1598132201677.0
vp,1598132201208.2642,1598132201687.0
vp,1598132201208.758,1598132201491.0
vp,1598132201218.427,1598132201696.0
vp,1598132201218.6912,1598132201629.0
vp,1598132201220.621,1598132201710.0
dep,1598132201221.215,1598132201604.0
vp,1598132201226.827,1598132201669.0
vp,1598132201227.125,1598132201712.0
vp,1598132201242.159,1598132201675.0
vp,1598132201246.633,1598132201512.0
vp,1598132201246.929,1598132201747.0
vp,1598132201249.197,1598132201759.0
vp,1598132201249.836,1598132201670.0
vp,1598132201256.9822,1598132201733.0
vp,1598132201273.9192,1598132201000.0
vp,1598132201274.456,1598132201000.0
vp,1598132201274.673,1598132201000.0
vp,1598132201274.91,1598132201000.0
vp,1598132201275.189,1598132201000.0
vp,1598132201275.312,1598132201717.0
vp,1598132201275.538,1598132201000.0
vp,1598132201277.509,1598132201000.0
vp,1598132201282.765,1598132201775.0
vp,1598132201283.112,1598132201786.0
vp,1598132201285.517,1598132201605.0
vp,1598132201285.83,1598132201777.0
vp,1598132201294.805,1598132200399.0
vp,1598132201295.5151,1598132201751.0
vp,1598132201303.355,1598132201828.0
vp,1598132201303.9219,1598132201567.0
vp,1598132201314.059,1598132201808.0
vp,1598132201317.895,1598132201482.0
vp,1598132201332.2092,1598132201745.0
vp,1598132201336.0679,1598132201838.0
vp,1598132201336.691,1598132201781.0
vp,1598132201340.063,1598132201792.0
vp,1598132201354.368,1598132201398.0
vp,1598132201355.032,1598132201840.0
vp,1598132201359.824,1598132201850.0
vp,1598132201363.072,1598132201849.0
vp,1598132201372.914,1598132201832.0
vp,1598132201397.362,1598132201882.0
vp,1598132201398.182,1598132201728.0
vp,1598132201398.355,1598132201871.0
vp,1598132201398.7131,1598132201889.0
vp,1598132201406.697,1598132201852.0
vp,1598132201406.92,1598132201889.0
vp,1598132201411.157,1598132201887.0
